hind1,hind2,hpair_ind
31,13,1285
32,13,1286
33,13,1287
34,13,1288
35,13,1289
36,13,1290
37,13,1291
38,13,1292
39,13,1293
40,13,1294
41,13,1295
42,13,1296
43,13,1297
44,13,1298
45,13,1299
46,13,1300
47,13,1301
48,13,1302
49,13,1303
50,13,1304
51,13,1305
52,13,1306
53,13,1307
54,13,1308
55,13,1309
56,13,1310
57,13,1311
58,13,1312
59,13,1313
60,13,1314
61,13,1315
62,13,1316
63,13,1317
64,13,1318
65,13,1319
66,13,1320
67,13,1321
68,13,1322
69,13,1323
70,13,1324
71,13,1325
72,13,1326
73,13,1327
74,13,1328
75,13,1329
76,13,1330
77,13,1331
78,13,1332
79,13,1333
80,13,1334
81,13,1335
82,13,1336
83,13,1337
84,13,1338
85,13,1339
86,13,1340
87,13,1341
88,13,1342
89,13,1343
90,13,1344
91,13,1345
92,13,1346
93,13,1347
94,13,1348
95,13,1349
96,13,1350
97,13,1351
98,13,1352
99,13,1353
100,13,1354
101,13,1355
102,13,1356
103,13,1357
104,13,1358
105,13,1359
106,13,1360
107,13,1361
108,13,1362
109,13,1363
110,13,1364
111,13,1365
1,14,14
2,14,124
3,14,233
4,14,341
5,14,448
6,14,554
7,14,659
8,14,763
9,14,866
10,14,968
11,14,1069
12,14,1169
13,14,1268
14,14,1366
15,14,1367
16,14,1368
17,14,1369
18,14,1370
19,14,1371
20,14,1372
21,14,1373
22,14,1374
23,14,1375
24,14,1376
25,14,1377
26,14,1378
27,14,1379
28,14,1380
29,14,1381
30,14,1382
31,14,1383
32,14,1384
33,14,1385
34,14,1386
35,14,1387
36,14,1388
37,14,1389
38,14,1390
39,14,1391
40,14,1392
41,14,1393
42,14,1394
43,14,1395
44,14,1396
45,14,1397
46,14,1398
47,14,1399
48,14,1400
49,14,1401
50,14,1402
51,14,1403
52,14,1404
53,14,1405
54,14,1406
55,14,1407
56,14,1408
57,14,1409
58,14,1410
59,14,1411
60,14,1412
61,14,1413
62,14,1414
63,14,1415
64,14,1416
65,14,1417
66,14,1418
67,14,1419
68,14,1420
69,14,1421
70,14,1422
71,14,1423
72,14,1424
73,14,1425
74,14,1426
75,14,1427
76,14,1428
77,14,1429
78,14,1430
79,14,1431
80,14,1432
81,14,1433
82,14,1434
83,14,1435
84,14,1436
85,14,1437
86,14,1438
87,14,1439
88,14,1440
89,14,1441
90,14,1442
91,14,1443
92,14,1444
93,14,1445
94,14,1446
95,14,1447
96,14,1448
97,14,1449
98,14,1450
99,14,1451
100,14,1452
101,14,1453
102,14,1454
103,14,1455
104,14,1456
105,14,1457
106,14,1458
107,14,1459
108,14,1460
109,14,1461
110,14,1462
111,14,1463
1,15,15
2,15,125
3,15,234
4,15,342
5,15,449
6,15,555
7,15,660
8,15,764
9,15,867
10,15,969
11,15,1070
12,15,1170
13,15,1269
14,15,1367
15,15,1464
16,15,1465
17,15,1466
18,15,1467
19,15,1468
20,15,1469
21,15,1470
22,15,1471
23,15,1472
24,15,1473
25,15,1474
26,15,1475
27,15,1476
28,15,1477
29,15,1478
30,15,1479
31,15,1480
32,15,1481
33,15,1482
34,15,1483
35,15,1484
36,15,1485
37,15,1486
38,15,1487
39,15,1488
40,15,1489
41,15,1490
42,15,1491
43,15,1492
44,15,1493
45,15,1494
46,15,1495
47,15,1496
48,15,1497
49,15,1498
50,15,1499
51,15,1500
52,15,1501
53,15,1502
54,15,1503
55,15,1504
56,15,1505
57,15,1506
58,15,1507
59,15,1508
60,15,1509
61,15,1510
62,15,1511
63,15,1512
64,15,1513
65,15,1514
66,15,1515
67,15,1516
68,15,1517
69,15,1518
70,15,1519
71,15,1520
72,15,1521
73,15,1522
74,15,1523
75,15,1524
76,15,1525
77,15,1526
78,15,1527
79,15,1528
80,15,1529
81,15,1530
82,15,1531
83,15,1532
84,15,1533
85,15,1534
86,15,1535
87,15,1536
88,15,1537
89,15,1538
90,15,1539
91,15,1540
92,15,1541
93,15,1542
94,15,1543
95,15,1544
96,15,1545
97,15,1546
98,15,1547
99,15,1548
100,15,1549
101,15,1550
102,15,1551
103,15,1552
104,15,1553
105,15,1554
106,15,1555
107,15,1556
108,15,1557
109,15,1558
110,15,1559
111,15,1560
1,16,16
2,16,126
3,16,235
4,16,343
5,16,450
6,16,556
7,16,661
8,16,765
9,16,868
10,16,970
11,16,1071
12,16,1171
13,16,1270
14,16,1368
15,16,1465
16,16,1561
17,16,1562
18,16,1563
19,16,1564
20,16,1565
21,16,1566
22,16,1567
23,16,1568
24,16,1569
25,16,1570
26,16,1571
27,16,1572
28,16,1573
29,16,1574
30,16,1575
31,16,1576
32,16,1577
33,16,1578
34,16,1579
35,16,1580
36,16,1581
37,16,1582
38,16,1583
39,16,1584
40,16,1585
41,16,1586
42,16,1587
43,16,1588
44,16,1589
45,16,1590
46,16,1591
47,16,1592
48,16,1593
49,16,1594
50,16,1595
51,16,1596
52,16,1597
53,16,1598
54,16,1599
55,16,1600
56,16,1601
57,16,1602
58,16,1603
59,16,1604
60,16,1605
61,16,1606
62,16,1607
63,16,1608
64,16,1609
65,16,1610
66,16,1611
67,16,1612
68,16,1613
69,16,1614
70,16,1615
71,16,1616
72,16,1617
73,16,1618
74,16,1619
75,16,1620
76,16,1621
77,16,1622
78,16,1623
79,16,1624
80,16,1625
81,16,1626
82,16,1627
83,16,1628
84,16,1629
85,16,1630
86,16,1631
87,16,1632
88,16,1633
89,16,1634
90,16,1635
91,16,1636
92,16,1637
93,16,1638
94,16,1639
95,16,1640
96,16,1641
97,16,1642
98,16,1643
99,16,1644
100,16,1645
101,16,1646
102,16,1647
103,16,1648
104,16,1649
105,16,1650
106,16,1651
107,16,1652
108,16,1653
109,16,1654
110,16,1655
111,16,1656
1,17,17
2,17,127
3,17,236
4,17,344
5,17,451
6,17,557
7,17,662
8,17,766
9,17,869
10,17,971
11,17,1072
12,17,1172
13,17,1271
14,17,1369
15,17,1466
16,17,1562
17,17,1657
18,17,1658
19,17,1659
20,17,1660
21,17,1661
22,17,1662
23,17,1663
24,17,1664
25,17,1665
26,17,1666
27,17,1667
28,17,1668
29,17,1669
30,17,1670
31,17,1671
32,17,1672
33,17,1673
34,17,1674
35,17,1675
36,17,1676
37,17,1677
38,17,1678
39,17,1679
40,17,1680
41,17,1681
42,17,1682
43,17,1683
44,17,1684
45,17,1685
46,17,1686
47,17,1687
48,17,1688
49,17,1689
50,17,1690
51,17,1691
52,17,1692
53,17,1693
54,17,1694
55,17,1695
56,17,1696
57,17,1697
